dataset,model,gflops,ratio,r_sum,alpha
flickr,BLIP,28.67598323712,0.85,518.9800000000001,$\alpha=1.0$
flickr,BLIP,28.67598323712,0.85,518.66,$\alpha=0.5$
flickr,BLIP,28.67598323712,0.85,516.56,$\alpha=0.0$
flickr,BLIP,32.12378591232,0.875,545.9,$\alpha=1.0$
flickr,BLIP,32.12378591232,0.875,545.22,$\alpha=0.5$
flickr,BLIP,32.12378591232,0.875,544.54,$\alpha=0.0$
flickr,BLIP,36.418436997120004,0.9,562.8200000000001,$\alpha=1.0$
flickr,BLIP,36.418436997120004,0.9,562.42,$\alpha=0.5$
flickr,BLIP,36.418436997120004,0.9,561.92,$\alpha=0.0$
flickr,BLIP,41.60941535232,0.925,571.8800000000001,$\alpha=1.0$
flickr,BLIP,41.60941535232,0.925,571.1,$\alpha=0.5$
flickr,BLIP,41.60941535232,0.925,570.62,$\alpha=0.0$
flickr,BLIP,48.12842176512,0.95,577.4399999999999,$\alpha=1.0$
flickr,BLIP,48.12842176512,0.95,577.4399999999999,$\alpha=0.5$
flickr,BLIP,48.12842176512,0.95,577.4,$\alpha=0.0$
flickr,BLIP,48.12842176512,0.95,577.1800000000001,$\alpha=-1.0$
flickr,BLIP,56.01276997632,0.975,580.24,$\alpha=1.0$
flickr,BLIP,56.01276997632,0.975,579.82,$\alpha=0.5$
flickr,BLIP,56.01276997632,0.975,579.76,$\alpha=0.0$
